time,accuracy
10.001666689,0.78
20.005782581,0.83
30.008514623,0.85
40.012172148,0.84
50.015615985,0.89
60.02214035,0.88
70.024617473,0.87
80.02814863,0.86
90.031267186,0.94
100.036930475,0.93
110.038590845,0.9
120.042006374,0.93
130.04573745,0.92
140.050449539,0.92
150.053438234,0.95
160.055484857,0.91
170.059096774,0.97
180.064279157,0.92
190.066646506,0.94
200.070304343,0.93
210.07360797,0.94
220.078848992,0.92
230.080381108,0.96
240.082258954,0.92
250.084920731,0.92
260.088810713,0.95
270.092812442,0.95
280.09744653,0.91
290.100215102,0.94
300.106561014,0.88
310.110351185,0.9
320.115125505,0.96
330.119121831,0.87
340.129954995,0.94
